label,order,startSample,endSample,durationSec,nBreaths,medRateBPM,medPeriodSec,medAmp,periodCV,ampCV,regularity,gapSplit,medRSAgood_ms,fracClean,medSubPeaks,startMin,endMin
pre,1,1,88763,177.526,38,12.9310344827586,4.64,139.512889122516,0.254360693788533,0.360728302134741,0.163425751279522,0,47.4034334763981,0.236842105263158,1,3.33333333333333e-05,2.95876666666667
paced,2,88764,146759,115.992,22,11.177347242921,5.36800000000001,124.111721697404,0.0662969337407913,0.17894045894663,0.0623625335911517,0,63.9999999999645,0.545454545454545,1,2.9588,4.89196666666667
paced,3,146760,295210,296.902,75,14.8441365660565,4.04199999999997,120.699580401555,0.221828119401468,0.448568671252565,0.132917818889644,0,46.3966244726,0.4,1,4.892,9.84033333333333
paced,4,295211,376949,163.478,32,11.7141741507223,5.12200000000001,131.541919258725,0.114127074121688,0.275006992102464,0.0917708513167332,0,60.8208050635106,0.65625,1,9.84036666666667,12.5649666666667
paced,5,376950,425060,96.222,26,16.9252468265161,3.54500000000002,186.689235959688,0.41143518588176,0.414544584041454,0.272603675735783,0,54.3749999999432,0.0769230769230769,1.5,12.565,14.1686666666667
paced,6,425061,520346,190.572,50,15.1975683890576,3.94800000000004,149.800495605869,0.177577590698102,0.564659599617016,0.0560181395808462,0,41.9105145413532,0.66,1,14.1687,17.3448666666667
paced,7,520347,657565,274.438,61,13.2508833922261,4.52800000000002,152.757013685183,0.212740802316942,0.335085853682757,0.121970311499587,0,51.0533642692458,0.39344262295082,1,17.3449,21.9188333333333
paced,8,657566,732548,149.966,28,11.0967264656925,5.40700000000004,133.403159425987,0.112183061264029,0.237523801152399,0.0415568464019442,0,59.9908466818301,0.571428571428571,1,21.9188666666667,24.4182666666667
paced,9,732549,818761,172.426,27,9.03614457831343,6.63999999999987,123.770761396148,0.159957570618264,0.187537663256715,0.0678638348835617,0,90.4209199206789,0.62962962962963,1,24.4183,27.2920333333333
paced,10,818762,1006856,376.19,42,6.56239746253971,9.14299999999992,137.727726991092,0.214876701282889,0.24067472864566,0.0768911576416527,0,141.478632478461,0.428571428571429,1,27.2920666666667,33.5618666666667
paced,11,1006857,1129790,245.868,64,15.4599330069566,3.88100000000009,159.709428640673,0.272776901819078,0.341168388284749,0.121755201610397,0,46.7177906295189,0.625,1,33.5619,37.6596666666667
paced,12,1129791,1224377,189.174,41,12.9813933362173,4.6220000000003,158.161423875348,0.0938550304727166,0.274119712955174,0.0664228514204176,0,52.6696832579896,0.878048780487805,1,37.6597,40.8125666666667
paced,13,1224378,1324323,199.892,38,11.0926234054356,5.40899999999988,125.313528412233,0.13866078843764,0.327497937260069,0.0411882649427506,0,57.8329571103791,0.684210526315789,1,40.8126,44.1441
paced,14,1324324,1428140,207.634,32,9.05387052965118,6.62700000000018,140.479494930282,0.183652528719642,0.260534231578511,0.0927391188774226,0,93.7610208814996,0.5625,1,44.1441333333333,47.6046666666667
paced,15,1428141,1512692,169.104,20,7.05799317727347,8.50099999999975,124.880592141885,0.130544651542973,0.371789733846988,0.0944516778152163,0,162.321083172401,0.35,2,47.6047,50.4230666666667
paced,16,1512693,1602825,180.266,18,5.9411822952768,10.0989999999999,115.147082974791,0.0720999255271484,0.340772537952682,0.0495527309291367,0,154.999999999973,0.333333333333333,2,50.4231,53.4275
paced,17,1602826,1719906,234.162,61,15.1668351870571,3.95600000000013,222.218845958568,0.205384543089098,0.219349595815406,0.0363958165532922,0,45.999999999367,0.704918032786885,1,53.4275333333333,57.3302
paced,18,1719907,1809004,178.196,39,13.0095403295748,4.61200000000008,165.119986749217,0.0748054766198987,0.270697004620129,0.0337381188147825,0,49.0725274721684,0.717948717948718,1,57.3302333333333,60.3001333333333
paced,19,1809005,1896007,174.006,32,10.9890109890109,5.46000000000004,160.843078575789,0.0488870321892975,0.237043844937289,0.0403440578392618,0,54.9607562965073,0.78125,1,60.3001666666667,63.2002333333333
paced,20,1896008,1968134,144.254,21,8.75912408759136,6.84999999999991,151.364827141925,0.0984108897922244,0.816457334265599,0.0614836250063262,0,85.4869739479214,0.238095238095238,2,63.2002666666667,65.6044666666667
paced,21,1968135,2252785,569.302,96,11.340011340011,5.29100000000017,133.59224796531,0.427098734352049,0.424439462455013,0.25948117660735,0,76.0000000004766,0.0625,1,65.6045,75.0928333333333
paced,22,2252786,2384864,264.158,43,9.50871632329712,6.30999999999949,128.246430807219,0.162843631451938,0.349410953240331,0.0851286045923394,0,89.7307692311586,0.255813953488372,2,75.0928666666667,79.4954666666667
final,23,2384865,2558336,346.944,64,11.5318085719778,5.20299999999997,102.038615222481,0.204428538859767,0.363500908835431,0.101821061181468,0,77.9999999995198,0.265625,2,79.4955,85.2778666666667
