measure,comparedTo,nFinal10,nOther,medFinal10,medOther,q1Final10,q3Final10,q1Other,q3Other,ranksumP,cliffsDelta
length,restAll,94,820,5.58999999999924,4.71899999999994,4.91600000000017,6.29600000000028,3.97399999999999,5.72199999999958,2.23856183898732e-07,0.325752464971458
length,pacedAll,94,746,5.58999999999924,4.71500000000037,4.91600000000017,6.29600000000028,3.97799999999995,5.84199999999987,1.12921790070612e-06,0.307783355199361
length,preNatural,94,74,5.58999999999924,4.80200000000001,4.91600000000017,6.29600000000028,3.76600000000002,5.41999999999996,1.79014795862156e-08,0.506900517538815
rateBPM,restAll,94,820,10.7335638862761,12.7145587400581,9.52986022871623,12.2050447518303,10.4858453915065,15.0981378963262,2.23856183898732e-07,-0.325752464971458
rateBPM,pacedAll,94,746,10.7335638862761,12.7253452171584,9.52986022871623,12.2050447518303,10.2704553235196,15.082956259427,1.12921790070612e-06,-0.307783355199361
rateBPM,preNatural,94,74,10.7335638862761,12.4960423994552,9.52986022871623,12.2050447518303,11.0701107011071,15.9320233669675,1.79014795862156e-08,-0.506900517538815
amp,restAll,94,820,105.055213404576,144.515475576343,84.9368888593176,136.369049042462,119.273139430192,182.758927166652,2.52179718321181e-16,-0.515464452516866
amp,pacedAll,94,746,105.055213404576,145.070660673374,84.9368888593176,136.369049042462,119.244707135647,184.307959318773,1.64919728668726e-16,-0.521333637556329
amp,preNatural,94,74,105.055213404576,135.457748074817,84.9368888593176,136.369049042462,120.242775462939,171.241525994964,4.00272587475531e-07,-0.456296722254169
rsa_ms,restAll,94,820,81.8323529405884,57.9999999999927,51.9999999996799,113.999999999578,39.063257486993,90.3205475658113,6.08809305657546e-05,0.252218474312403
rsa_ms,pacedAll,94,746,81.8323529405884,58.4270833332091,51.9999999996799,113.999999999578,39.2726493896169,91.9999999998709,0.000166101687798771,0.238106782271405
rsa_ms,preNatural,94,74,81.8323529405884,51.7702702702549,51.9999999996799,113.999999999578,35.1598360656131,70.1775898520089,1.17626297450837e-05,0.394479585968948
rsaNorm,restAll,94,820,0.0893471148041879,0.0649258549101445,0.0555776933410306,0.132202805126536,0.0438174059762081,0.102811933551863,0.000246403380691961,0.230617540217955
rsaNorm,pacedAll,94,746,0.0893471148041879,0.0655273152481502,0.0555776933410306,0.132202805126536,0.0441083752762287,0.104865453713357,0.00064859294124337,0.215646568935029
rsaNorm,preNatural,94,74,0.0893471148041879,0.0583576251172761,0.0555776933410306,0.132202805126536,0.0374866344718091,0.0802246306481792,2.25384707196952e-05,0.381541115583669
hrBPM,restAll,94,820,66.1004240938924,67.0563672562891,64.1167212745915,67.9603695987296,64.8795934280568,69.6969471709791,0.000336920473009465,-0.225531914893617
hrBPM,pacedAll,94,746,66.1004240938924,67.1842872027277,64.1167212745915,67.9603695987296,64.8864070883895,69.7988612772318,0.00013865884736924,-0.24094461240089
hrBPM,preNatural,94,74,66.1004240938924,66.0174076174333,64.1167212745915,67.9603695987296,64.8401625095927,68.0154767730704,0.436582897913004,-0.0701552616446234
localPeriodCV,restAll,94,820,0.133811155038576,0.110214796985292,0.10666566695178,0.228306876679795,0.0563202522854521,0.253385845952406,0.00637242008912677,0.171613907628438
localPeriodCV,pacedAll,94,746,0.133811155038576,0.106402373824333,0.10666566695178,0.228306876679795,0.0553035493758816,0.249173807546121,0.00154339616434657,0.200216758884262
localPeriodCV,preNatural,94,74,0.133811155038576,0.208084851180642,0.10666566695178,0.228306876679795,0.093489657863418,0.308643151023912,0.195126282726782,-0.116733755031627
nSubPeaks,restAll,94,820,2,1,1,2,1,2,1.5208508124659e-07,0.272548002075765
nSubPeaks,pacedAll,94,746,2,1,1,2,1,2,5.42223938377869e-08,0.281943414522845
nSubPeaks,preNatural,94,74,2,1,1,2,1,2,0.0296198188870476,0.177832087406555
depthVol,restAll,94,820,93188.6452530618,116437.098417041,73415.8189358495,106088.818083869,97283.5403172531,138516.739126358,7.2809603668581e-14,-0.470705760249092
depthVol,pacedAll,94,746,93188.6452530618,117523.957803292,73415.8189358495,106088.818083869,97732.6629938461,139426.713860896,2.49340761075383e-14,-0.481946266613428
depthVol,preNatural,94,74,93188.6452530618,104648.111548418,73415.8189358495,106088.818083869,93825.0426497158,121962.730620898,7.19460834342939e-05,-0.357389304197815
