lengthBin,nFinal10,nPaced,medRSAfinal_ms,medRSApaced_ms,ranksumP,cliffsDelta,medDepthFinal,medDepthPaced
<4,5,194,68.2790100451345,41.8227848097683,0.269151931653923,0.290721649484536,83414.5645568925,108821.340660443
4-5,21,232,52.0000000001215,51.0132110815013,0.536485714397771,0.0816912972085386,64830.0552694988,114358.475346495
5-6,33,142,99.2149200717058,59.9999999999454,5.95033887155791e-05,0.449423815620999,96043.9759406669,120336.155010505
6-7.5,32,80,85.5869565219658,88.8951965061537,0.604125787843218,-0.06328125,102709.791046947,120832.301345991
