sniffOnset,finalOnset,manOnset,condition,Yonset,inhaleMax,inMaxTim,Yend,endTim,length,amp,exhaleMin,exMinTim,index,task,noseMouth,shadowFile,warp,rateBPM,localPeriodCV,localAmpCV,nSubPeaks,nearSeam,bm_inhaleOnsets,bm_exhaleOnsets,bm_inhaleOffsets,bm_exhaleOffsets,bm_inhalePeaks,bm_exhaleTroughs,bm_peakInspiratoryFlows,bm_troughExpiratoryFlows,bm_inhaleTimeToPeak,bm_exhaleTimeToTrough,bm_inhaleVolumes,bm_exhaleVolumes,bm_inhaleDurations,bm_exhaleDurations,bm_inhalePauseOnsets,bm_exhalePauseOnsets,bm_inhalePauseDurations,bm_exhalePauseDurations,bm_inhaleVolumesRaw,bm_exhaleVolumesRaw,bm_inhale_smoothness,bm_inpeak_to_extrough_smoothness,bm_exhale_smoothness,bm_inhale_curvature,bm_inpeak_to_extrough_curvature,bm_exhale_curvature,bm_inpeak_to_extrough_slope,bm_max_flowchange,goodBreath,maxRR,minRR,RR_max_min,onsetSec,rsa_ms,good,nearSeamWide,clean,final10,period,meanRR,hrBPM,rsaNorm,depthVol,depth
28071,28071,NaN,1,4.94807317317279,129.599374954533,28586,0.266656039767669,30168,4.194,126.992010348063,-74.1168358892243,28951,11,pre,NA,NA,NaN,14.3061516452075,0.209158290553693,0.253471834106757,1,0,28071,28766,28765,29597,28586,28951,1.57641635865457,-1.23914980562552,1.03,0.37,1248.04836288523,1171.07639112139,1.388,1.662,NaN,29598,NaN,1.14,84212.0977939031,76939.1559116382,-0.0242001234031176,-0.0560962600144384,-0.00410269415587502,2.47634259710697e-05,7.17221296668809e-05,2.17123136957936e-05,-0.0095381293641373,0.00431725743555289,1,0.954000000000001,0.923999999999999,0.0300000000000011,56.142,30.0000000000011,1,0,0,0,pre,0.939318760993663,63.876079656419,0.0319380398282107,84212.0977939031,84212.0977939031
30168,30168,NaN,1,0.266656039767669,106.963959971255,30544,8.92798733543775,31776,3.216,102.366638283652,-91.7660921757697,30979,12,pre,NA,NA,NaN,18.6567164179104,0.231080720374331,0.269008624717281,1,0,30168,30776,30775,31515,30544,30979,1.588183873318,-1.35928514568906,0.752,0.406,1080.0715974222,1144.24504842043,1.214,1.478,NaN,31516,NaN,0.52,76514.3619451761,79563.5366026219,-0.0316256035762349,-0.0489401603779857,-0.00363781181761165,3.5471512749375e-05,5.23082868395329e-05,2.27888296423792e-05,-0.00853874244756678,0.00687548511643965,1,0.933999999999997,0.917999999999999,0.0159999999999982,60.336,15.9999999999982,1,0,0,0,pre,0.925394909788816,64.8371839582439,0.0172899157221965,76514.3619451761,76514.3619451761
31776,31776,NaN,1,8.92798733543775,149.853897976636,32352,1.39685434178018,34742,5.932,144.691477138027,-89.0622965281169,32788,13,pre,NA,NA,NaN,10.1146325016858,0.231874191774196,0.351637046618149,1,0,31776,32587,32586,33978,32352,32788,1.70777550331147,-1.16446042391115,1.152,0.402,1546.48368423787,1903.28507341608,1.62,2.782,NaN,33979,NaN,1.526,117274.464070172,143875.727635408,-0.0234715839050263,-0.0463590439066379,-0.00291989921479441,2.93153532240431e-05,4.67596326047258e-05,1.64752871573902e-05,-0.0077783717379693,0.00527928432019942,1,0.934806866952785,0.887999999999991,0.0468068669527943,63.552,46.8068669527943,1,0,0,0,pre,0.908370035424108,66.0523769610989,0.0515284136722329,117274.464070172,117274.464070172
34742,34742,NaN,1,1.39685434178018,84.7310797064705,35120,13.9888447010158,36781,4.078,77.0382301850725,-89.9688887970106,35666,14,pre,NA,NA,NaN,14.7130946542423,0.250559089033488,0.384218050785189,2,0,34742,35485,35484,36780,35120,35666,1.48510311790499,-1.1342495480935,0.756,0.362,1411.04999181923,1717.51955217147,1.484,2.59,NaN,NaN,NaN,NaN,107889.124479009,143347.987824252,-0.029287073564519,-0.0352278081111872,-0.00294453746690086,3.81050904234854e-05,4.82831504720538e-05,1.68011214501309e-05,-0.00581270996360194,0.00735214897433623,1,0.935999999999993,0.881999999999991,0.054000000000002,69.484,54.000000000002,1,0,0,0,pre,0.897459172556594,66.8554089531202,0.0601698680578105,107889.124479009,107889.124479009
36781,36781,NaN,1,13.9888447010158,108.488069550268,37437,5.66972209648733,38449,3.336,98.6587861515165,-157.028786655637,37880,15,pre,NA,NA,NaN,17.9856115107914,0.311939483507026,0.43479525954372,3,0,36781,37651,37650,38211,37437,37880,1.18714783602955,-1.91919023734527,1.312,0.458,1121.57223620915,1257.03971820531,1.738,1.12,NaN,38212,NaN,0.474,95649.8234286937,110556.671884526,-0.0159673195235383,-0.0512501597828879,-0.00681782624491238,2.25833839810632e-05,5.55330488006787e-05,4.62893605825081e-05,-0.00868222258151574,0.00789761755110729,1,0.894000000000005,0.879999999999995,0.01400000000001,73.562,14.00000000001,1,0,0,0,pre,0.886322946456082,67.6954153561149,0.0157955969164381,95649.8234286937,95649.8234286937
38449,38449,NaN,1,5.66972209648733,216.51978086211,38823,6.30740764252088,40875,4.852,210.531215992606,-173.59424291477,39271,16,pre,NA,NA,NaN,12.3660346248969,0.308643151023912,0.402191827469333,2,0,38449,39075,39074,39939,38823,39271,2.79007823546685,-1.97917868176444,0.748,0.392,1958.86284592951,1937.90177082753,1.25,1.728,NaN,39940,NaN,1.87,170224.744111822,175589.091506451,-0.0567247203186143,-0.0763186232833161,-0.00529036997791785,6.18716285240663e-05,8.74700756136563e-05,3.2699168907078e-05,-0.0133242730826027,0.0116094535403763,1,0.885999999999996,0.856000000000009,0.0299999999999869,76.898,29.9999999999869,1,0,0,0,pre,0.871266891170306,68.8652359088345,0.0344326179544023,170224.744111822,170224.744111822
40875,40875,NaN,1,6.30740764252088,214.384330522473,41210,4.78726384795768,42417,3.084,208.836994777233,-148.239791773415,41593,17,pre,NA,NA,NaN,19.4552529182879,0.312220110055919,0.379949266532068,1,0,40875,41393,41392,42060,41210,41593,2.42306737086246,-1.51719485418113,0.67,0.4,1210.44958026212,1223.94367361558,1.034,1.334,NaN,42061,NaN,0.712,132071.133378633,123280.486997412,-0.0562697743592522,-0.0757707711576657,-0.00581694924610438,6.78968760669841e-05,9.55998748337051e-05,4.06266208755525e-05,-0.0122672884994916,0.010867184845311,1,0.868374717832955,0.831999999999994,0.036374717832961,81.75,36.374717832961,1,0,0,0,pre,0.848568890913007,70.7072821576616,0.0428659572870083,132071.133378633,132071.133378633
42417,42417,NaN,1,4.78726384795768,255.281625130232,42917,-1.08698979841503,45685,6.536,253.431488105461,-139.389503265739,43324,18,pre,NA,NA,NaN,9.17992656058751,0.313248559368377,0.308696846274217,1,0,42417,43134,43133,44250,42917,43324,2.18853400237208,-1.52052429966181,1,0.38,1762.69871694713,2091.41297711611,1.432,2.232,NaN,44251,NaN,2.868,177968.29880017,211796.715330886,-0.0324075384275014,-0.0646153231340439,-0.00444468760887453,2.95251549081886e-05,7.06858768250544e-05,2.61421733579996e-05,-0.0111010788891897,0.00687021400410637,1,0.914000000000001,0.807999999999993,0.106000000000009,84.834,106.000000000009,1,0,0,0,pre,0.851977918711396,70.4243603997967,0.124416370039651,177968.29880017,177968.29880017
45685,45685,NaN,1,-1.08698979841503,246.776498502945,46017,-8.10069586387076,47332,3.294,251.370341334088,-144.39969158569,46375,19,pre,NA,NA,NaN,18.2149362477231,0.29382467799691,0.228421088267526,1,0,45685,46191,46190,46806,46017,46375,1.81219192947671,-1.35299750763754,0.664,0.368,909.433716233209,973.035824142073,1.01,1.23,NaN,46807,NaN,1.05,103036.805588184,105779.25516462,-0.0424594103990195,-0.0641553392177906,-0.00568805483276951,5.90808150069223e-05,8.20967278458006e-05,3.58888593032553e-05,-0.0108963357284069,0.00998184037614225,1,0.908000000000001,0.898582781456954,0.009417218543047,91.37,9.417218543047,1,0,0,0,pre,0.904069955949152,66.3665456474638,0.0104164710718212,103036.805588184,103036.805588184
47332,47332,NaN,1,-8.10069586387076,197.24082851886,47800,20.8072615967,48921,3.178,190.887545652445,-257.975163667881,48300,20,pre,NA,NA,NaN,18.8797986154815,0.311180667764846,0.228754399167627,2,0,47332,48071,48070,48760,47800,48300,2.0337958450181,-2.46829324813319,0.936,0.458,1743.6316504603,2002.56374315779,1.476,1.378,NaN,48761,NaN,0.32,186140.5466238,211805.946091114,-0.0340346931260059,-0.0674393816121975,-0.00802272463500594,4.89417394097855e-05,9.11514858482948e-05,4.99500770729546e-05,-0.0117032889896432,0.0109217529904551,1,0.898582781456954,0.867999999999995,0.0305827814569593,94.664,30.5827814569593,1,0,0,0,pre,0.880290747121626,68.159298727367,0.0347416822873111,186140.5466238,186140.5466238
48921,48921,NaN,1,20.8072615967,330.741368034246,49212,5.97193532989002,50915,3.988,317.351769570951,-189.083820752971,49515,21,pre,NA,NA,NaN,15.0451354062187,0.271378645069586,0.342492767116415,2,0,48921,49380,49379,49805,49212,49515,2.79023001262508,-1.73100368271641,0.582,0.27,1349.52251464681,929.71295121491,0.916,0.85,NaN,49806,NaN,2.218,143190.443748842,102082.643739451,-0.0761017903980617,-0.109471281647562,-0.0155402824341939,9.2270937828207e-05,0.00014640289868922,7.71738410609547e-05,-0.0180779487242726,0.0134831384860787,1,0.906000000000006,0.798555555555554,0.107444444444452,97.842,107.444444444452,1,0,0,0,pre,0.877028831169713,68.4128022564283,0.122509592188834,143190.443748842,143190.443748842
50915,50915,NaN,1,5.97193532989002,166.401524468053,51319,11.3122095741159,53080,4.33,157.75945201605,-163.443572673919,51848,22,pre,NA,NA,NaN,13.8568129330254,0.232050757318995,0.366375495124581,3,0,50915,51654,51653,52666,51319,51848,2.19239992321195,-1.78131448331913,0.808,0.388,2054.53455491916,1921.78314358174,1.476,2.024,NaN,52667,NaN,0.826,186638.3079332,182156.737400713,-0.0418035964394661,-0.0551794325558033,-0.0047976012020178,5.42116224089018e-05,7.16515512550538e-05,2.70885104826107e-05,-0.00921685515458316,0.009948266269727,1,0.920000000000002,0.748000000000005,0.171999999999997,101.83,171.999999999997,1,0,0,0,pre,0.814819784643698,73.63591450622,0.211089621584494,186638.3079332,186638.3079332
