session,task,n,bpm,medY0,pctTrough
250623_Dupi_NMH_KS_1,breathingTask,264,13.2,0.222905981372847,7.57575757575758
250723_EEG_NWU_BK,breathingTask,731,18.275,0.335838597574065,7.66073871409029
250723_EEG_NWU_IN,breathingTask,703,17.575,0.109688977207787,15.647226173542
250725_EEG_NWU_BN,breathingTask,554,13.85,0.194052094434187,10.6498194945848
250815_EEG_NWU_PP,breathingTask,606,15.15,0.114933011822595,16.996699669967
250818_Dupi_NMH_JH_1,breathingTask,404,13.4666666666667,0.384521023710003,2.22772277227723
250819_EEG_NWU_ZL,breathingTask,607,15.175,0.430277627870324,3.95387149917628
250908_OBE_NWU_AS,breathingTask,481,16.0333333333333,0.18798544810714,9.97920997920998
250904_OBE_NWU_TI_1,breathingTask,481,16.0333333333333,0.194988199451226,10.1871101871102
250912_EEG_NWU_JN,breathingTask,603,15.075,0.256067719740991,21.2271973466003
250818_Dupi_NMH_JH_2,breathingTask,403,13.4333333333333,0.198596739955942,8.93300248138958
250811_Dupi_NMH_TPB_1,breathingTask,33,6.6,0.108089818731734,3.03030303030303
251003_EEG_NWU_TI,breathingTask,1578,16.3016978008204,0.263380498169698,16.9201520912548
251008_EEG_NWU_GM,breathingTask,1407,14.1076769024475,0.281671644147733,4.40653873489694
251008_EEG_NWU_JC,breathingTask,963,10.0333298256618,0.208464941436027,8.82658359293873
251009_EEG_NWU_JM,breathingTask,1298,14.7628391965133,0.233709521828076,11.5562403697997
250811_Dupi_NMH_TB_2,breathingTask,370,12.3329085331505,0.171429656941254,12.1621621621622
250929_Dupi_NMH_GH_1,breathingTask,500,16.6673148400216,0.0418469995291543,24
251027_EEG_NWU_AS,breathingTask,997,10.4989585285873,0.332125464250874,5.91775325977934
251009_OBE_NWU_CP_1,breathingTask,97,9.6967677440853,0.133142262200649,0
251009_EEG_NWU_SM,breathingTask,1007,10.6016107008538,0.262369238439702,1.98609731876862
251105_EEG_NWU_GL,breathingTask,690,10.6123913767912,0.264218734219705,8.69565217391304
251002_Dupi_NMH_AB_1,breathingTask,241,16.0489771274329,0.261665830512714,1.2448132780083
251110_EEG_NWU_GA,breathingTask,930,10.1357352967355,-0.0539035060258751,24.7311827956989
251111_EEG_NWU_VW,breathingTask,969,11.215654229135,0.255322295061787,9.49432404540764
251113_EEG_NWU_GH,breathingTask,403,7.65773412144444,0.18587224534443,16.1290322580645
251118_EEG_NWU_ADtest,breathingTask,912,10.7992213193049,0.311587393598257,8.88157894736842
251027_Dupi_NMH_DL_1,breathingTask,328,13.1232195631995,0.241344311595822,4.8780487804878
251202_EEG_NWU_GJ,breathingTask,977,11.1796451883471,0.303686806906186,8.49539406345957
250929_Dupi_NMH_GH_2,breathingTask,124,8.2729173153049,0.536719442073827,5.64516129032258
251205_EEG_NWU_AK,breathingTask,775,9.38271804226057,0.0960206332889243,17.2903225806452
251208_EEG_NWU_ZA,breathingTask,851,10.1638032450122,0.0845047157228373,7.63807285546416
251002_Dupi_NMH_AB_2,breathingTask,143,14.2961400421886,0.322666277383986,0.699300699300699
251013_Dupi_NMH_JN_2,breathingTask,202,13.4713966237034,0.222972282453099,0.495049504950495
260109_EEG_NWU_AA,breathingTask,671,8.11119877312578,0.185963354437728,10.5812220566319
251030_Dupi_NMH_DB_1,breathingTask,186,12.5989514421058,0.367087607211417,1.61290322580645
251110_Dupi_NMH_PC_1,breathingTask,188,12.5310777393403,0.220939499443159,3.72340425531915
250818_Dupi_NMH_JH_3,breathingTask,203,13.5296652907434,0.297624996266665,5.91133004926108
251030_Dupi_NMH_DB_2,breathingTask,197,13.1316116331414,0.32485032224903,4.06091370558376
260806_EEG_NWU_JH,emotionalMovieTask,437,12.3889038513332,0.0192623125500203,5.26315789473684
260806_EEG_NWU_MM,emotionalMovieTask,504,14.6993773180442,0.152361428788443,3.37301587301587
260807_EEG_NWU_GP,emotionalMovieTask,321,9.80891460234681,0.0638608154369847,0.934579439252336
260810_EEG_NWU_IS,emotionalMovieTask,429,13.1159503000261,0.0902372729314764,3.96270396270396
260810_EEG_NWU_AL,emotionalMovieTask,497,15.4018742562475,0.149100085281728,2.41448692152917
260811_EEG_NWU_MS,emotionalMovieTask,449,13.8157246947617,0.0647637252763424,1.78173719376392
260811_EEG_NWU_HK,emotionalMovieTask,469,14.3370125211947,0.103382278225028,8.95522388059701
260805_EEG_NWU_CA,alternating6Blocks,614,9.01160060116476,0.0620526185335228,0.814332247557003
260806_EEG_NWU_JH,alternating6Blocks,932,16.4229074889868,0.122916564085633,6.33047210300429
260806_EEG_NWU_MM,alternating6Blocks,823,13.850166886377,0.17246826773058,5.4678007290401
260807_EEG_NWU_GP,alternating6Blocks,641,11.6668769899821,0.151154991256692,2.18408736349454
260810_EEG_NWU_IS,alternating6Blocks,672,11.9038621419394,0.0931539844565792,3.42261904761905
260810_EEG_NWU_AL,alternating6Blocks,661,11.6922169811321,0.225238711681917,4.99243570347958
260811_EEG_NWU_MS,alternating6Blocks,337,6.3061377245509,0.137449253097277,1.18694362017804
260811_EEG_NWU_HK,alternating6Blocks,612,10.4212074978204,0.149627252124699,9.15032679738562
250929_Dupi_NMH_GH_1,breathingTasks_separate,101,17.4829209748892,0.210101288382383,2.97029702970297
251027_Dupi_NMH_DL_1,breathingTasks_separate,418,15.1889534883721,0.156064736829452,23.9234449760766
251006_OBE_NWU_RY_1,breathingTasks_separate,47,8.95579268292683,0.51410954880106,2.12765957446809
260105_OBE_NWU_ZF_1,breathingTasks_separate,194,14.7338788075178,0.196567613654413,0
260625_OBE_NWU_HM_2,breathingTasks_separate,372,10.6080423409174,-0.0217472065365762,2.1505376344086
260702_OBE_NWU_SP_2,breathingTasks_separate,263,17.0466330199115,0.0158400562931697,2.6615969581749
260622_OBE_NWU_RC_1,breathingTasks_separate,612,14.4857099575843,0.13130487091332,0.490196078431373
260720_OBE_NWU_KA_2,breathingTasks_separate,89,16.8356537530266,0.0973113668135956,1.12359550561798
