lengthBin,nFinal10,nPaced,medRSAfinal_ms,medRSApaced_ms,ranksumP,cliffsDelta,medDepthFinal,medDepthPaced
<4,5,163,68.2790100451345,41.162886598261,0.270713008134755,0.29079754601227,83414.5645568925,111897.253787959
4-5,21,186,52.0000000001215,49.5362637357204,0.509822901706292,0.0880696364567332,64830.0552694988,118051.421564311
5-6,33,123,99.2149200717058,59.9999999999454,5.05480390115406e-05,0.460458240946046,96043.9759406669,120387.313185079
6-7.5,32,79,85.5869565219658,87.9999999992833,0.660344055746099,-0.0537974683544304,102709.791046947,120681.198023026
