measure,comparedTo,nFinal10,nOther,medFinal10,medOther,q1Final10,q3Final10,q1Other,q3Other,ranksumP,cliffsDelta
length,restAll,141,1205,3.98599999999988,4.79600000000028,3.54300000000012,4.56150000000048,3.91349999999989,6.55700000000002,2.88529684736356e-13,-0.37525676113122
length,pacedAll,141,1110,3.98599999999988,4.92399999999998,3.54300000000012,4.56150000000048,3.97200000000021,6.69799999999941,1.59406604766821e-15,-0.41153280940515
length,preNatural,141,95,3.98599999999988,3.93000000000001,3.54300000000012,4.56150000000048,3.29649999999998,4.55749999999999,0.527470487850679,0.0486002239641657
rateBPM,restAll,141,1205,15.0526843953843,12.5104253544613,13.1539115148958,16.9350001199697,9.15053189645178,15.3315454041028,2.88529684736356e-13,0.37525676113122
rateBPM,pacedAll,141,1110,15.0526843953843,12.1852333647066,13.1539115148958,16.9350001199697,8.95789787996496,15.1057401812681,1.59406604766821e-15,0.41153280940515
rateBPM,preNatural,141,95,15.0526843953843,15.2671755725191,13.1539115148958,16.9350001199697,13.1651510333373,18.2019016415963,0.527470487850679,-0.0486002239641657
amp,restAll,141,1205,179.877326841741,144.316090152561,149.384496673133,218.36138144533,101.943248873551,196.947122197408,4.98285818165872e-10,0.319737500367853
amp,pacedAll,141,1110,179.877326841741,147.297718960852,149.384496673133,218.36138144533,105.935667258768,198.910409044958,7.94736094002055e-09,0.297936234106447
amp,preNatural,141,95,179.877326841741,102.95721321441,149.384496673133,218.36138144533,72.2121248237029,161.352295654776,7.46576379357303e-14,0.574468085106383
rsa_ms,restAll,141,1205,83.285714285726,82.8196721313111,53.3648853143844,120.364379085429,53.9999999999736,121.342928112125,0.769009010433284,-0.0151025573114387
rsa_ms,pacedAll,141,1110,83.285714285726,84.7134589552281,53.3648853143844,120.364379085429,55.7664233577198,124.765677180028,0.370474646261656,-0.0462526356143377
rsa_ms,preNatural,141,95,83.285714285726,56.8481481481442,53.3648853143844,120.364379085429,33.9245265481474,83.9999999999961,5.57988958394245e-06,0.348861515490855
rsaNorm,restAll,141,1205,0.107502333791331,0.105689904548059,0.068940175585827,0.160036365475318,0.0681072947263898,0.157133966861158,0.727627248468169,0.0179100085341809
rsaNorm,pacedAll,141,1110,0.107502333791331,0.109464114571767,0.068940175585827,0.160036365475318,0.0706542029759086,0.161853262502818,0.805408624869671,-0.0127276212382595
rsaNorm,preNatural,141,95,0.107502333791331,0.0706998957553181,0.068940175585827,0.160036365475318,0.0427009664764709,0.105562323713822,9.90088824091582e-07,0.375886524822695
hrBPM,restAll,141,1205,78.4900381906097,76.2979360623197,75.7711851803968,82.2222484430438,72.601782179456,80.4034008779804,6.23179038873769e-08,0.278220181866337
hrBPM,pacedAll,141,1110,78.4900381906097,76.4949155240004,75.7711851803968,82.2222484430438,72.5517473569491,80.5245629431725,2.53481776554502e-07,0.266206632164079
hrBPM,preNatural,141,95,78.4900381906097,75.0873366902616,75.7711851803968,82.2222484430438,72.8100383943931,77.7658877239053,5.04705447667329e-08,0.418589025755879
localPeriodCV,restAll,141,1205,0.187320736168122,0.184288673162051,0.159198667235284,0.254759085974259,0.0739127092485267,0.340894786191569,0.109213570429841,0.0823460168917925
localPeriodCV,pacedAll,141,1110,0.187320736168122,0.16940876854196,0.159198667235284,0.254759085974259,0.0691124869502802,0.337333620228097,0.0187199707220259,0.121410772474602
localPeriodCV,preNatural,141,95,0.187320736168122,0.273059448221946,0.159198667235284,0.254759085974259,0.182873553928107,0.522130958564036,1.11447231794924e-06,-0.374094811496827
nSubPeaks,restAll,141,1203,1,2,1,2,1,4,3.42956575601103e-22,-0.485600419754396
nSubPeaks,pacedAll,141,1108,1,3,1,2,2,4,6.1006353368208e-25,-0.52078372634867
nSubPeaks,preNatural,141,95,1,1,1,2,1,2,0.253575785922651,-0.0752519596864502
depthVol,restAll,141,1205,185724.662598207,132771.721480053,155375.231122267,218727.748316421,92123.5322532136,185629.173880938,5.47591698395659e-19,0.457638091874871
depthVol,pacedAll,141,1110,185724.662598207,135765.724642782,155375.231122267,218727.748316421,95911.0613281967,186751.722363331,1.60347382407414e-17,0.439933550571848
depthVol,preNatural,141,95,185724.662598207,91703.8088007419,155375.231122267,218727.748316421,74924.2860133615,147945.296934781,5.07055510864998e-18,0.664501679731243
