lengthBin,nFinal10,nPaced,medRSAfinal_ms,medRSApaced_ms,ranksumP,cliffsDelta,medDepthFinal,medDepthPaced
<4,72,291,69.8233126177101,52.1149425289851,0.0304316354697916,0.164757541046201,173533.68975831,104105.885499368
4-5,49,279,89.9754738018396,73.0803571425005,0.00372047477425999,0.259893204593665,202635.13128353,125506.109808037
5-6,16,185,103.582388164665,88.0000000006476,0.251439567623092,0.173310810810811,205087.481239938,150309.748709601
