label,order,startSample,endSample,durationSec,nBreaths,medRateBPM,medPeriodSec,medAmp,periodCV,ampCV,regularity,gapSplit,medRSAgood_ms,fracClean,medSubPeaks,startMin,endMin
pre,1,1,35804,71.608,12,19.2988099067224,3.109,211.034040997006,0.599227755309704,0.692990858450069,0.276623742878648,0,38.0000000000109,0,2,3.33333333333333e-05,1.19346666666667
paced,2,35805,88589,105.57,22,14.0614014530115,4.26700000000001,118.836960524956,0.491623479391147,0.750733319990798,0.260927286798236,0,62.0000000000118,0.136363636363636,1,1.1935,2.95296666666667
paced,3,88590,172090,167.002,41,15.2983171851095,3.92200000000003,73.009600916563,0.269270101748439,0.373107238221652,0.156995478436595,0,39.999999999992,0.341463414634146,1,2.953,5.73633333333333
paced,4,172091,379473,414.766,109,17.3310225303293,3.46199999999999,138.757444655819,0.453083247547136,0.491730406402384,0.209564573484231,0,53.9999999999736,0.018348623853211,2,5.73636666666667,12.6491
paced,5,379474,467593,176.24,46,15.1324085750316,3.96499999999997,221.405924632593,0.187048334232962,0.414698423249635,0.125178345025705,0,61.7080962145799,0.347826086956522,2,12.6491333333333,15.5864333333333
paced,6,467594,591614,248.042,55,13.1118881118887,4.57599999999979,203.148083949619,0.13831437680181,0.265400713845362,0.0770894461200959,0,75.6545454545605,0.272727272727273,2,15.5864666666667,19.7204666666667
paced,7,591615,726825,270.422,47,10.7874865156416,5.56200000000013,189.607762289422,0.120085962855315,0.287021274783501,0.0496010698267833,0,90.0000000001455,0.148936170212766,3,19.7205,24.2275
paced,8,726826,934021,414.392,76,9.58160332162257,6.26199999999994,167.622166702617,0.384540204949692,0.442743976346871,0.289884912837413,0,108.509695290968,0,3,24.2275333333333,31.1340333333333
paced,9,934022,1036518,204.994,25,7.02576112412181,8.53999999999996,143.206153177636,0.166960817275083,0.283241883271147,0.0318534948243288,0,112.40322580644,0.12,3,31.1340666666667,34.5506
paced,10,1036519,1074086,75.136,8,6.07841150845906,9.87100000000009,189.580048691743,0.166227228188134,0.200881649788637,0.22306647137309,0,172.635176042099,0.125,3.5,34.5506333333333,35.8028666666667
paced,11,1074087,1136046,123.92,16,6.25782227784733,9.58799999999997,118.440204558134,0.356917617354842,0.480584385319797,0.255873982080106,0,102.000000000317,0,3,35.8029,37.8682
paced,12,1136047,1275966,279.84,68,15.086748805632,3.97700000000009,145.444705151018,0.273315085689498,0.603436498583418,0.0499734160112943,0,64.3734767026026,0.397058823529412,1.5,37.8682333333333,42.5322
paced,13,1275967,1373843,195.754,43,13.0548302872063,4.596,129.844728809631,0.183565276519547,0.299810121796209,0.10360680170857,0,74.2045194211823,0.186046511627907,2,42.5322333333333,45.7947666666667
paced,14,1373844,1482179,216.672,43,11.2317484088354,5.3420000000001,97.8956741903877,0.211674160867143,0.386395220913958,0.119684353661135,0,89.6547058823033,0.0232558139534884,4,45.7948,49.4059666666667
paced,15,1482180,1555732,147.106,22,9.11438553850848,6.58299999999986,124.657920887842,0.138168600609149,0.279713487959632,0.107007730341437,0,123.532163742626,0,5,49.406,51.8577333333333
paced,16,1555733,1892067,672.67,109,9.41619585687405,6.37199999999984,107.971129757475,0.428591470005173,0.445636647407339,0.33283831663087,0,103.000000000065,0,5,51.8577666666667,63.0689
paced,17,1892068,2001938,219.742,48,14.8038490007398,4.05300000000011,158.060880188775,0.361613890116546,0.430266550797646,0.203119955601876,0,74.9858072722744,0.125,2,63.0689333333333,66.7312666666667
paced,18,2001939,2123146,242.416,51,13.1061598951508,4.57799999999997,209.195598278962,0.205475249711757,0.217540301596845,0.0543359563723982,0,77.2540463934697,0.450980392156863,1,66.7313,70.7715333333333
paced,19,2123147,2223183,200.074,37,10.9729334308708,5.46799999999985,206.561854172599,0.124811502082522,0.210151474834389,0.0906110545290288,0,88.0000000006476,0.243243243243243,2,70.7715666666667,74.1061
paced,20,2223184,2356171,265.976,39,8.79249706916814,6.82399999999961,186.68929076751,0.110980042202168,0.203587803833054,0.0765614119485563,0,109.999999999673,0.205128205128205,2,74.1061333333333,78.5390333333333
paced,21,2356172,2424249,136.156,21,8.0906148867322,7.41599999999926,221.352088866221,0.280243040598648,0.340651498072615,0.181071922858112,0,114.000000000487,0,3,78.5390666666667,80.8083
paced,22,2424250,2526284,204.07,25,7.04721634954183,8.51400000000012,208.873028906936,0.169505547815956,0.212106824075871,0.0475432400871321,0,137.442528736138,0.04,3,80.8083333333333,84.2094666666667
paced,23,2526285,2625901,199.234,22,6.03986309643664,9.93399999999974,172.030813081549,0.241410046568016,0.316041830611594,0.207617356741354,0,123.999999998887,0,4,84.2095,87.5300333333333
paced,24,2625902,2725463,199.124,50,15.1247794303013,3.96699999999964,95.2626887289516,0.0971857153632473,0.344114069337374,0.0577857312086277,0,57.9999999990832,0.26,2,87.5300666666667,90.8487666666667
paced,25,2725464,2767051,83.176,18,14.9068322981363,4.02500000000009,198.844736283871,0.445775625219934,0.601718978895133,0.264907713099584,0,69.9596977340806,0,3,90.8488,92.2350333333333
paced,26,2767052,2878266,222.43,50,13.1752305665347,4.55400000000009,107.763128608225,0.142411693808928,0.284172004033181,0.0558019607880641,0,59.9999999994907,0.4,2,92.2350666666667,95.9422
paced,27,2878267,2996944,237.356,44,10.9389243391073,5.48499999999967,108.885202080027,0.212082082200045,0.365112849677176,0.0650658681983793,0,93.2771618621793,0.113636363636364,3,95.9422333333333,99.8981333333333
paced,28,2996945,3230105,466.322,74,8.56042231416748,7.00900000000001,117.65485123855,0.328986285005381,0.397790583728986,0.274504518237929,0,105.976905311704,0.0135135135135135,4,99.8981666666667,107.670166666667
paced,29,3230106,3353123,246.036,42,8.97531787584151,6.68499999999995,69.5707753267054,0.503983418854291,0.477935242554964,0.490088664948023,0,88.3577235770061,0,6,107.6702,111.770766666667
paced,30,3353124,3448980,191.714,39,14.8075024679182,4.05199999999968,105.429966275317,0.571349842817662,0.758066696678212,0.306542025953649,0,70.150121065381,0.0256410256410256,5,111.7708,114.966
final,31,3448981,3799552,701.144,170,15.2284263959389,3.94000000000005,177.858340496494,0.285742215075828,0.361463883043351,0.150443691207661,0,77.9999999995198,0.341176470588235,1,114.966033333333,126.651733333333
