sniffOnset,finalOnset,manOnset,condition,Yonset,inhaleMax,inMaxTim,Yend,endTim,length,amp,exhaleMin,exMinTim,index,task,noseMouth,shadowFile,warp,rateBPM,localPeriodCV,localAmpCV,nSubPeaks,bm_inhaleOnsets,bm_exhaleOnsets,bm_inhaleOffsets,bm_exhaleOffsets,bm_inhalePeaks,bm_exhaleTroughs,bm_peakInspiratoryFlows,bm_troughExpiratoryFlows,bm_inhaleTimeToPeak,bm_exhaleTimeToTrough,bm_inhaleVolumes,bm_exhaleVolumes,bm_inhaleDurations,bm_exhaleDurations,bm_inhalePauseOnsets,bm_exhalePauseOnsets,bm_inhalePauseDurations,bm_exhalePauseDurations,bm_inhaleVolumesRaw,bm_exhaleVolumesRaw,bm_inhale_smoothness,bm_inpeak_to_extrough_smoothness,bm_exhale_smoothness,bm_inhale_curvature,bm_inpeak_to_extrough_curvature,bm_exhale_curvature,bm_inpeak_to_extrough_slope,bm_max_flowchange,goodBreath,maxRR,minRR,RR_max_min,onsetSec,rsa_ms,good,clean,final10,period,meanRR,hrBPM,rsaNorm,depthVol,depth
32014,32014,NaN,1,1.68501023599318,139.809933477832,32294,-70.9149492699666,33330,2.63199999999999,174.424902994819,-104.253833274402,32716,11,pre,NA,NA,NaN,22.7963525835867,0.334250499919887,0.197866891495495,2,32014,32562,32561,33086,32294,32716,2.0452062736305,-0.947983050190846,0.56,0.308,1529.08643419342,602.577193871896,1.094,1.048,NaN,33087,NaN,0.486,114589.226172284,70681.2337487071,-0.0595155742441277,-0.0504526126029718,-0.00623527867551714,3.96090880438889e-05,5.60321016649295e-05,3.90715607098189e-05,-0.00867821637265879,0.00896752224667363,1,0.738000000000014,0.700000000000003,0.0380000000000109,64.028,38.0000000000109,1,0,0,pre,0.718416862703594,83.5169705986633,0.0528940813791686,114589.226172284,114589.226172284
33330,33330,NaN,1,-70.9149492699666,178.335908481992,33851,17.8405183298193,35804,4.94800000000001,204.873123952065,-48.6118285943732,34282,12,pre,NA,NA,NaN,12.1261115602263,0.357108157989396,0.208056232452273,3,33330,34143,34142,34923,33851,34282,2.24336196957146,-0.568710794978218,1.042,0.278,1591.3269653567,445.571616077915,1.624,1.56,NaN,34924,NaN,1.76,138776.307131834,44973.3398760709,-0.0411305108280936,-0.0455891266674913,-0.00617760496535009,7.30633760201838e-05,4.85936721227893e-05,4.0229263753168e-05,-0.00798197296049283,0.0113335260060228,0,0.780000000000001,0.729730769230764,0.0502692307692376,66.66,50.2692307692376,0,0,0,pre,0.766757699935021,78.2515780475171,0.0655607772487941,138776.307131834,138776.307131834
35804,35804,NaN,2,17.8405183298193,88.9708850775662,36347,6.69937359624801,40661,9.714,76.7009391145325,-32.4286678514891,36684,13,paced,NA,NA,NaN,6.17665225447807,0.677262013199466,0.243877641025039,3,35804,36539,36538,37225,36347,36684,1.10184969439852,-0.582590314465283,1.086,0.29,793.407604232896,373.635192837703,1.468,1.372,NaN,37226,NaN,6.87,63439.2551907319,20880.8765841619,-0.017384006752897,-0.0361070986723769,-0.00401582674182653,1.84643732018462e-05,4.62947896836585e-05,1.72402761236173e-05,-0.00605407383349511,0.00413503562727491,1,0.823999999999998,0.768000000000001,0.0559999999999974,71.608,55.9999999999974,1,0,0,pre,0.799364435294989,75.0596315657429,0.0700556561280234,63439.2551907319,63439.2551907319
40661,40661,NaN,2,6.69937359624801,75.0655320642953,41351,8.88940584162236,42738,4.154,67.2711423453601,-82.2837140346982,41750,14,paced,NA,NA,NaN,14.4439094848339,0.571319949268068,0.2517307948886,2,40661,41524,41523,42195,41351,41750,1.89880790434085,-2.33980507563015,1.38,0.452,1734.46410324529,2092.72054273588,1.724,1.342,NaN,42196,NaN,1.084,79248.178272599,73062.8370162217,-0.0213197814106965,-0.0779920389857726,-0.0120519737563636,2.35297749169557e-05,9.68998269301892e-05,4.15875908735188e-05,-0.0134453431765399,0.00591225240403837,1,0.812000000000012,0.768000000000001,0.0440000000000111,81.322,44.0000000000111,1,0,0,pre,0.790705583868128,75.8815938879302,0.0556465021844962,79248.178272599,79248.178272599
42738,42738,NaN,2,8.88940584162236,67.7254342517068,43097,-60.7646714247967,43761,2.04600000000001,93.663067043294,-69.2528504119484,43489,15,paced,NA,NA,NaN,29.3255131964808,0.562016084347293,0.385172827227669,1,42738,43298,43297,43760,43097,43489,1.65423448564767,-1.73415682810726,0.718,0.382,1207.09641517385,1273.98920885612,1.118,0.924,NaN,NaN,NaN,NaN,54305.3635359066,57194.5416276135,-0.0358789833711876,-0.0627436860616866,-0.0236358498964956,2.43648563093311e-05,7.32487722027012e-05,4.54072479666654e-05,-0.0107297329481454,0.00562071501665407,1,0.786000000000001,0.769999999999996,0.0160000000000053,85.476,16.0000000000053,1,0,0,pre,0.779280784645959,76.9940709204823,0.0205317522454688,54305.3635359066,54305.3635359066
43761,43761,NaN,2,-60.7646714247967,23.6807394330492,44536,5.06798359049112,45631,3.73999999999999,51.529083350202,-35.3599430045331,44925,16,paced,NA,NA,NaN,16.0427807486631,0.593074257162107,0.493389529313832,1,43761,44706,44705,45630,44536,44925,0.650752166688264,-0.762067318748489,1.55,0.438,821.034396892266,645.72063391955,1.888,1.848,NaN,NaN,NaN,NaN,32896.8540532422,31447.9004063242,-0.0175152466621217,-0.0261090489982333,-0.00397795665339984,1.85171490069091e-05,2.88218336996215e-05,1.65297721390493e-05,-0.00433621922374384,0.00550715032683702,0,0.798000000000002,0.763999999999996,0.034000000000006,87.522,34.000000000006,0,0,0,pre,0.784586176059794,76.4734350805428,0.0433349465456486,32896.8540532422,32896.8540532422
45631,45631,NaN,2,5.06798359049112,94.3257781614161,45928,-15.7994741080224,49355,7.44799999999999,99.6915234201818,-106.034126717359,46680,17,paced,NA,NA,NaN,8.05585392051558,0.693118153351729,0.484653677663534,3,45631,46405,46404,47531,45928,46680,1.82685660345989,-2.05908330141086,0.594,0.55,1795.68309366552,2493.87549132042,1.546,2.252,NaN,47532,NaN,3.646,82074.2567647042,131551.6744418,-0.0483124421571328,-0.0367479217340945,-0.00344063308412172,3.68691653341635e-05,3.76913933790349e-05,2.12161947633905e-05,-0.00589912495435533,0.00704014241277995,1,0.823999999999998,0.760000000000005,0.063999999999993,91.262,63.999999999993,1,0,0,pre,0.790076496905939,75.9420135075138,0.0810048144080058,82074.2567647042,82074.2567647042
49355,49355,NaN,2,-15.7994741080224,147.582477716834,49591,8.89478743934221,51135,3.56,151.034821051174,-103.351520495347,50030,18,paced,NA,NA,NaN,16.8539325842697,0.682464634572528,0.525313545941896,1,49355,49813,49812,50684,49591,50030,2.9627259157396,-2.24018428636395,0.472,0.434,1688.61808790384,2240.80014669255,0.914,1.742,NaN,50685,NaN,0.9,86612.76808033,115110.610390116,-0.0962793085142914,-0.0839581604741433,-0.00544011798072224,7.93689291409315e-05,8.80519477355201e-05,3.32212009282949e-05,-0.0145621123579348,0.0139678097470703,1,0.826000000000008,0.777889473684208,0.0481105263157993,98.71,48.1105263157993,1,0,0,pre,0.804443626021045,74.5857112409146,0.0598059637239771,86612.76808033,86612.76808033
51135,51135,NaN,2,8.89478743934221,49.5173580185734,51615,38.5661653367967,52366,2.462,25.786881630504,-16.0029596215481,52013,19,paced,NA,NA,NaN,24.3704305442729,0.586589837138544,0.572276536033487,1,51135,51859,51858,52365,51615,52013,0.868468046258106,-0.294978140431948,0.96,0.308,763.212295481703,286.278743446763,1.446,1.012,NaN,NaN,NaN,NaN,38899.6145743446,11771.0226680145,-0.016694366772758,-0.0207300335889919,-0.0198416775039223,1.57173022196228e-05,2.46663149084056e-05,3.08403320529668e-05,-0.00362555455957623,0.0104768860296237,0,0.792213930348259,0.757999999999996,0.0342139303482634,102.27,34.2139303482634,0,0,0,pre,0.769277301203379,77.99528194338,0.0444754190650661,38899.6145743446,38899.6145743446
52366,52366,NaN,2,38.5661653367967,134.359123010071,52527,-0.819271045228818,58327,11.922,115.485675864287,-115.100206385272,53233,20,paced,NA,NA,NaN,5.03271263210871,0.62855585702469,0.963016622156037,3,52366,53001,53000,54320,52527,53233,2.54054008019022,-2.04908050661769,0.322,0.464,2201.39782446912,2516.87560782993,1.268,2.638,NaN,54321,NaN,8.012,127150.594954014,140377.156719436,-0.148470886339126,-0.0456579407132534,-0.00280372276499188,8.20953794603453e-05,4.14475604762253e-05,1.98880004450318e-05,-0.007401293337725,0.0116221125659794,1,0.825999999999993,0.722000000000008,0.103999999999985,104.732,103.999999999985,1,0,0,pre,0.778698920888289,77.0516028602633,0.133556111624437,127150.594954014,127150.594954014
58327,58327,NaN,2,-0.819271045228818,185.67942372044,58854,7.00866388873886,60608,4.562,182.584727298685,-146.359620956813,59455,21,paced,NA,NA,NaN,13.1521262604121,0.64754862623739,0.84493177954526,1,58327,59191,59190,60067,58854,59455,1.87786061169815,-1.55765096139132,1.054,0.528,1571.51148230416,1653.08656540879,1.726,1.752,NaN,60068,NaN,1.08,141492.538339451,150960.046272938,-0.0267461732842471,-0.0401280895961375,-0.00474463278102692,2.73024381700764e-05,3.05872707691193e-05,1.65250487018032e-05,-0.00677520500782727,0.00716506203829592,1,0.816000000000003,0.756,0.0600000000000023,116.654,60.0000000000023,1,0,0,pre,0.791474108106205,75.8079125842343,0.0758079125842372,141492.538339451,141492.538339451
60608,60608,NaN,2,7.00866388873886,68.8279777565476,61068,7.31545020069689,63015,4.81400000000001,61.6659207118297,-131.666464729539,61541,22,paced,NA,NA,NaN,12.4636476942252,0.639485542544452,0.780087855035483,8,60608,61310,61309,62115,61068,61541,0.874590722677601,-1.24710942122889,0.92,0.462,904.000633977306,1185.12108671109,1.402,1.61,NaN,62116,NaN,1.798,91703.8088007419,115429.974032849,-0.0179179521177203,-0.0325245691187567,-0.00435818631898698,4.36309110137187e-05,3.42707894169773e-05,2.17183926209107e-05,-0.00551533071498789,0.00480859570547493,1,0.790632352941183,0.635680250783692,0.154952102157491,121.216,154.952102157491,1,0,0,pre,0.710967840373989,84.3920028343875,0.217945304074488,91703.8088007419,91703.8088007419
